model,hardware,prompt_size,batch_size,token_size,peak_power,average_power,prompt_time,token_time,e2e_time,tensor_parallel
Llama-3.1-8B,a100-80gb,4096,1,128,0,0,0.3091261386871338,0.9180867671966553,1.2332093715667725,4
Llama-3.1-8B,a100-80gb,4096,1,128,0,0,0.308239221572876,0.913480281829834,1.228727102279663,4
Llama-3.1-8B,a100-80gb,4096,1,128,0,0,0.30869507789611816,0.9149372577667236,1.229689121246338,4
Llama-3.1-8B,a100-80gb,8192,1,128,0,0,0.6877720355987549,2.981109857559204,3.6810343265533447,4
Llama-3.1-8B,a100-80gb,8192,1,128,0,0,0.6824681758880615,3.0049350261688232,3.6989543437957764,4
Llama-3.1-8B,a100-80gb,8192,1,128,0,0,0.6859214305877686,2.995502233505249,3.6938390731811523,4
Llama-3.1-8B,a100-80gb,8192,1,128,0,0,0.6833145618438721,2.9776811599731445,3.673405170440674,4
Llama-3.1-8B,a100-80gb,8192,1,128,0,0,0.6832277774810791,2.9854214191436768,3.68021821975708,4
Llama-3.1-8B,a100-80gb,512,1,128,0,0,0.040676116943359375,0.9101004600524902,0.9532742500305176,4
Llama-3.1-8B,a100-80gb,512,1,128,0,0,0.04056811332702637,0.9111855030059814,0.9540891647338867,4
Llama-3.1-8B,a100-80gb,512,1,128,0,0,0.040778398513793945,0.9129705429077148,0.9562468528747559,4
Llama-3.1-8B,a100-80gb,512,1,128,0,0,0.04038071632385254,0.9029381275177002,0.9457666873931885,4
Llama-3.1-8B,a100-80gb,512,1,128,0,0,0.04138374328613281,0.9131519794464111,0.9569919109344482,4
Llama-3.1-8B,a100-80gb,512,2,128,0,0,0.06382107734680176,0.934819221496582,1.0021107196807861,4
Llama-3.1-8B,a100-80gb,512,2,128,0,0,0.06383037567138672,0.9424769878387451,1.0096113681793213,4
Llama-3.1-8B,a100-80gb,512,2,128,0,0,0.0658884048461914,0.9397339820861816,1.0090465545654297,4
Llama-3.1-8B,a100-80gb,512,2,128,0,0,0.06455707550048828,0.9397537708282471,1.0075223445892334,4
Llama-3.1-8B,a100-80gb,512,2,128,0,0,0.06284832954406738,0.9399785995483398,1.006199598312378,4
Llama-3.1-8B,a100-80gb,512,4,128,0,0,0.06371045112609863,1.0405006408691406,1.1091210842132568,4
Llama-3.1-8B,a100-80gb,512,4,128,0,0,0.06365799903869629,1.038590669631958,1.106511116027832,4
Llama-3.1-8B,a100-80gb,512,4,128,0,0,0.06399273872375488,1.0447800159454346,1.1139519214630127,4
Llama-3.1-8B,a100-80gb,512,4,128,0,0,0.06344223022460938,1.0373637676239014,1.105675220489502,4
Llama-3.1-8B,a100-80gb,512,4,128,0,0,0.06499862670898438,1.0433063507080078,1.1132864952087402,4
Llama-3.1-8B,a100-80gb,512,8,128,0,0,0.06383037567138672,1.267629861831665,1.3392703533172607,4
Llama-3.1-8B,a100-80gb,512,8,128,0,0,0.06624078750610352,1.260859727859497,1.336179494857788,4
Llama-3.1-8B,a100-80gb,512,8,128,0,0,0.06302475929260254,1.2741522789001465,1.3450615406036377,4
Llama-3.1-8B,a100-80gb,512,8,128,0,0,0.06313514709472656,1.2782201766967773,1.3490324020385742,4
Llama-3.1-8B,a100-80gb,512,8,128,0,0,0.06391525268554688,1.2589716911315918,1.3305821418762207,4
Llama-3.1-8B,a100-80gb,512,16,128,0,0,0.06427431106567383,1.7135212421417236,1.7915468215942383,4
Llama-3.1-8B,a100-80gb,512,16,128,0,0,0.06407690048217773,1.7208220958709717,1.8006653785705566,4
Llama-3.1-8B,a100-80gb,512,16,128,0,0,0.06445002555847168,1.7204759120941162,1.7990634441375732,4
Llama-3.1-8B,a100-80gb,512,16,128,0,0,0.06416440010070801,1.7132599353790283,1.7907109260559082,4
Llama-3.1-8B,a100-80gb,512,16,128,0,0,0.06682467460632324,1.7203295230865479,1.8021059036254883,4
Llama-3.1-8B,a100-80gb,512,32,128,0,0,0.06405973434448242,2.5786519050598145,2.669126510620117,4
Llama-3.1-8B,a100-80gb,512,32,128,0,0,0.06627225875854492,2.5744247436523438,2.6707284450531006,4
Llama-3.1-8B,a100-80gb,512,32,128,0,0,0.06295466423034668,2.5765671730041504,2.66672945022583,4
Llama-3.1-8B,a100-80gb,512,32,128,0,0,0.06716585159301758,2.5739235877990723,2.669581174850464,4
Llama-3.1-8B,a100-80gb,512,32,128,0,0,0.06482577323913574,2.5794899463653564,2.670748233795166,4
Llama-3.1-8B,a100-80gb,512,1,128,0,0,0.04084324836730957,0.9045429229736328,0.9488120079040527,4
Llama-3.1-8B,a100-80gb,512,1,128,0,0,0.04048418998718262,0.9076268672943115,0.9506700038909912,4
Llama-3.1-8B,a100-80gb,512,1,128,0,0,0.04068303108215332,0.9065515995025635,0.9498448371887207,4
Llama-3.1-8B,a100-80gb,512,1,128,0,0,0.04070544242858887,0.9034314155578613,0.9465377330780029,4
Llama-3.1-8B,a100-80gb,512,1,128,0,0,0.04071927070617676,0.9079494476318359,0.9511921405792236,4
Llama-3.1-8B,a100-80gb,512,1,256,0,0,0.04055023193359375,1.8268733024597168,1.8698947429656982,4
Llama-3.1-8B,a100-80gb,512,1,256,0,0,0.041440725326538086,1.8330903053283691,1.877121925354004,4
Llama-3.1-8B,a100-80gb,512,1,256,0,0,0.04086732864379883,1.8285620212554932,1.8722071647644043,4
Llama-3.1-8B,a100-80gb,512,1,256,0,0,0.04044008255004883,1.8245363235473633,1.8672668933868408,4
Llama-3.1-8B,a100-80gb,512,1,256,0,0,0.04082608222961426,1.8283722400665283,1.8717548847198486,4
Llama-3.1-8B,a100-80gb,512,1,512,0,0,0.04113268852233887,3.655670642852783,3.6992506980895996,4
Llama-3.1-8B,a100-80gb,512,1,512,0,0,0.04152107238769531,3.681077241897583,3.7252004146575928,4
Llama-3.1-8B,a100-80gb,512,1,512,0,0,0.04216480255126953,3.6695539951324463,3.7143681049346924,4
Llama-3.1-8B,a100-80gb,512,1,512,0,0,0.04161715507507324,3.6419179439544678,3.686237335205078,4
Llama-3.1-8B,a100-80gb,512,1,512,0,0,0.04149484634399414,3.6404597759246826,3.684502124786377,4
Llama-3.1-8B,a100-80gb,512,1,1024,0,0,0.04117918014526367,7.304950475692749,7.3484132289886475,4
Llama-3.1-8B,a100-80gb,512,1,1024,0,0,0.04148101806640625,7.330891132354736,7.375194549560547,4
Llama-3.1-8B,a100-80gb,512,1,1024,0,0,0.04161405563354492,7.321410417556763,7.365702390670776,4
Llama-3.1-8B,a100-80gb,512,1,1024,0,0,0.04181957244873047,7.364406585693359,7.4088075160980225,4
Llama-3.1-8B,a100-80gb,512,1,1024,0,0,0.041358232498168945,7.367954254150391,7.41203498840332,4
Llama-3.1-8B,a100-80gb,512,1,2048,0,0,0.041490793228149414,14.674051761627197,14.718321323394775,4
Llama-3.1-8B,a100-80gb,512,1,2048,0,0,0.04175257682800293,14.654934883117676,14.699673891067505,4
Llama-3.1-8B,a100-80gb,512,1,2048,0,0,0.041767120361328125,14.65286660194397,14.697844743728638,4
Llama-3.1-8B,a100-80gb,512,1,2048,0,0,0.04240131378173828,14.647189378738403,14.692456722259521,4
Llama-3.1-8B,a100-80gb,512,1,2048,0,0,0.04179954528808594,14.671943426132202,14.71670150756836,4
Llama-3.1-8B,a100-80gb,512,1,4096,0,0,0.04157757759094238,29.385060787200928,29.42957377433777,4
Llama-3.1-8B,a100-80gb,512,1,4096,0,0,0.042450666427612305,29.3020122051239,29.34712553024292,4
Llama-3.1-8B,a100-80gb,512,1,4096,0,0,0.04255080223083496,29.288910627365112,29.33450484275818,4
Llama-3.1-8B,a100-80gb,512,1,4096,0,0,0.04249978065490723,29.260406494140625,29.306030750274658,4
Llama-3.1-8B,a100-80gb,512,1,4096,0,0,0.04223918914794922,29.265640020370483,29.310494661331177,4
Llama-3.1-8B,a100-80gb,512,1,8192,0,0,0.04601097106933594,67.03578662872314,67.08492994308472,4
Llama-3.1-8B,a100-80gb,512,1,8192,0,0,0.041610002517700195,67.24745798110962,67.29184293746948,4
Llama-3.1-8B,a100-80gb,512,1,8192,0,0,0.04279804229736328,67.1168098449707,67.16287326812744,4
Llama-3.1-8B,a100-80gb,512,1,8192,0,0,0.04148697853088379,67.59015583992004,67.63473081588745,4
Llama-3.1-8B,a100-80gb,512,1,8192,0,0,0.04260420799255371,67.16201186180115,67.20761823654175,4
